"  ""result"": ""20",2.97194E+15,2.97194E+15,93152," """
"  ""result"": ""20",2.97194E+15,2.97194E+15,92727," """
"  ""result"": ""20",2.97194E+15,2.97194E+15,92740," """
"  ""result"": ""20",2.97194E+15,2.97194E+15,93391," """
"  ""result"": ""20",2.97196E+15,2.97196E+15,1406483," """
"  ""result"": ""20",2.97196E+15,2.97196E+15,92705," """
"  ""result"": ""20",2.97196E+15,2.97196E+15,93209," """
"  ""result"": ""20",2.97196E+15,2.97196E+15,92737," """
"  ""result"": ""20",2.97197E+15,2.97197E+15,132028," """
"  ""result"": ""20",2.97197E+15,2.97197E+15,91447," """
"  ""result"": ""20",2.97197E+15,2.97197E+15,97128," """
"  ""result"": ""20",2.97197E+15,2.97197E+15,91237," """
"  ""result"": ""20",2.97197E+15,2.97197E+15,92631," """
"  ""result"": ""20",2.97197E+15,2.97197E+15,93513," """
"  ""result"": ""20",2.97197E+15,2.97197E+15,92496," """
"  ""result"": ""20",2.97197E+15,2.97197E+15,92750," """
"  ""result"": ""20",2.97197E+15,2.97197E+15,93151," """
"  ""result"": ""20",2.97197E+15,2.97197E+15,92584," """
"  ""result"": ""20",2.97197E+15,2.97197E+15,92895," """
"  ""result"": ""20",2.97197E+15,2.97197E+15,91560," """
"  ""result"": ""20",2.97197E+15,2.97197E+15,92499," """
"  ""result"": ""20",2.97197E+15,2.97197E+15,91364," """
"  ""result"": ""20",2.97197E+15,2.97197E+15,93313," """
"  ""result"": ""20",2.97197E+15,2.97197E+15,92421," """
"  ""result"": ""20",2.97198E+15,2.97198E+15,93257," """
"  ""result"": ""20",2.97198E+15,2.97198E+15,92923," """
"  ""result"": ""20",2.97198E+15,2.97198E+15,93585," """
"  ""result"": ""20",2.97198E+15,2.97198E+15,91951," """
"  ""result"": ""20",2.97198E+15,2.97198E+15,93343," """
"  ""result"": ""20",2.97198E+15,2.97198E+15,92427," """
"  ""result"": ""20",2.97198E+15,2.97198E+15,93083," """
"  ""result"": ""20",2.97198E+15,2.97198E+15,93331," """
"  ""result"": ""20",2.97198E+15,2.97198E+15,93191," """
"  ""result"": ""20",2.97198E+15,2.97198E+15,93023," """
"  ""result"": ""20",2.97198E+15,2.97198E+15,92981," """
"  ""result"": ""20",2.97198E+15,2.97198E+15,93135," """
"  ""result"": ""20",2.97198E+15,2.97198E+15,93068," """
"  ""result"": ""20",2.97198E+15,2.97198E+15,92835," """
"  ""result"": ""20",2.97198E+15,2.97198E+15,92998," """
"  ""result"": ""20",2.97198E+15,2.97198E+15,123170," """
"  ""result"": ""20",2.97198E+15,2.97198E+15,93177," """
"  ""result"": ""20",2.97199E+15,2.97199E+15,92626," """
"  ""result"": ""20",2.97199E+15,2.97199E+15,93109," """
"  ""result"": ""20",2.97199E+15,2.97199E+15,93822," """
"  ""result"": ""20",2.97199E+15,2.97199E+15,93212," """
"  ""result"": ""20",2.97199E+15,2.97199E+15,91763," """
"  ""result"": ""20",2.97199E+15,2.97199E+15,93445," """
"  ""result"": ""20",2.97199E+15,2.97199E+15,93347," """
"  ""result"": ""20",2.97199E+15,2.97199E+15,92611," """
"  ""result"": ""20",2.97199E+15,2.97199E+15,92933," """
"  ""result"": ""20",2.97199E+15,2.97199E+15,93573," """
"  ""result"": ""20",2.97199E+15,2.97199E+15,93217," """
"  ""result"": ""20",2.97199E+15,2.97199E+15,93476," """
"  ""result"": ""20",2.97199E+15,2.97199E+15,127837," """
"  ""result"": ""20",2.97199E+15,2.97199E+15,92637," """
"  ""result"": ""20",2.97199E+15,2.97199E+15,93264," """
"  ""result"": ""20",2.97199E+15,2.97199E+15,91977," """
"  ""result"": ""20",2.97199E+15,2.97199E+15,93299," """
"  ""result"": ""20",2.972E+15,2.972E+15,93035," """
"  ""result"": ""20",2.972E+15,2.972E+15,92509," """
"  ""result"": ""20",2.972E+15,2.972E+15,91541," """
"  ""result"": ""20",2.972E+15,2.972E+15,93027," """
"  ""result"": ""20",2.972E+15,2.972E+15,93285," """
"  ""result"": ""20",2.972E+15,2.972E+15,93577," """
"  ""result"": ""20",2.972E+15,2.972E+15,91827," """
"  ""result"": ""20",2.972E+15,2.972E+15,93015," """
"  ""result"": ""20",2.972E+15,2.972E+15,92593," """
"  ""result"": ""20",2.972E+15,2.972E+15,92977," """
"  ""result"": ""20",2.972E+15,2.972E+15,93325," """
"  ""result"": ""20",2.972E+15,2.972E+15,92570," """
"  ""result"": ""20",2.972E+15,2.972E+15,93456," """
"  ""result"": ""20",2.972E+15,2.972E+15,93081," """
"  ""result"": ""20",2.972E+15,2.972E+15,93717," """
"  ""result"": ""20",2.972E+15,2.972E+15,92757," """
"  ""result"": ""20",2.972E+15,2.972E+15,92664," """
"  ""result"": ""20",2.97201E+15,2.97201E+15,93182," """
"  ""result"": ""20",2.97201E+15,2.97201E+15,93686," """
"  ""result"": ""20",2.97201E+15,2.97201E+15,92893," """
"  ""result"": ""20",2.97201E+15,2.97201E+15,92803," """
"  ""result"": ""20",2.97201E+15,2.97201E+15,93127," """
